Sector,Salary Group,Employment Group,Components,Year,Contents Men,Contents Women,Difference,Difference in procents
All sectors,All forms of pay,General managers,STANDARDIZED HOURLY EARNINGS,2013,399.7,329.43,70.26999999999998,17.58
All sectors,All forms of pay,General managers,Fringe benefits in DKK per standard hour,2013,10.21,3.33,6.880000000000001,67.38
All sectors,All forms of pay,General managers,Pension including ATP in DKK per standard hour,2013,49.06,44.06,5.0,10.19
All sectors,All forms of pay,General managers,Basic earnings in DKK per standard hour,2013,324.63,272.46,52.170000000000016,16.07
All sectors,All forms of pay,General managers,"Lower quartile, standardized earnings",2013,260.97,240.57,20.400000000000034,7.82
All sectors,All forms of pay,General managers,"Median, standardized hourly earnings",2013,344.2,291.65,52.55000000000001,15.27
All sectors,All forms of pay,General managers,"Upper quartile, standardized hourly earnings",2013,473.02,382.1,90.91999999999996,19.22
All sectors,All forms of pay,General managers,STANDARDIZED MONTHLY EARNINGS,2013,64083.99,52816.72,11267.269999999997,17.58
All sectors,All forms of pay,General managers,Number of fulltime employees in the earnings statistics,2013,98918.0,50049.0,48869.0,49.4
All sectors,All forms of pay,Employees,STANDARDIZED HOURLY EARNINGS,2013,263.11,225.42,37.690000000000026,14.32
All sectors,All forms of pay,Employees,Fringe benefits in DKK per standard hour,2013,2.65,0.65,2.0,75.47
All sectors,All forms of pay,Employees,Pension including ATP in DKK per standard hour,2013,31.85,28.22,3.6300000000000026,11.4
All sectors,All forms of pay,Employees,Basic earnings in DKK per standard hour,2013,219.01,189.57,29.439999999999998,13.44
All sectors,All forms of pay,Employees,"Lower quartile, standardized earnings",2013,187.49,178.27,9.219999999999999,4.92
All sectors,All forms of pay,Employees,"Median, standardized hourly earnings",2013,229.19,211.86,17.329999999999984,7.56
All sectors,All forms of pay,Employees,"Upper quartile, standardized hourly earnings",2013,299.61,251.12,48.49000000000001,16.18
All sectors,All forms of pay,Employees,STANDARDIZED MONTHLY EARNINGS,2013,42184.95,36141.61,6043.3399999999965,14.33
All sectors,All forms of pay,Employees,Number of fulltime employees in the earnings statistics,2013,683713.0,695179.0,-11466.0,-1.68
All sectors,All forms of pay,"Employees, non-managerial level",STANDARDIZED HOURLY EARNINGS,2013,239.47,216.82,22.650000000000006,9.46
All sectors,All forms of pay,"Employees, non-managerial level",Fringe benefits in DKK per standard hour,2013,1.35,0.43,0.9200000000000002,68.15
All sectors,All forms of pay,"Employees, non-managerial level",Pension including ATP in DKK per standard hour,2013,28.87,26.91,1.9600000000000009,6.79
All sectors,All forms of pay,"Employees, non-managerial level",Basic earnings in DKK per standard hour,2013,200.72,182.71,18.00999999999999,8.97
All sectors,All forms of pay,"Employees, non-managerial level","Lower quartile, standardized earnings",2013,182.38,175.96,6.4199999999999875,3.52
All sectors,All forms of pay,"Employees, non-managerial level","Median, standardized hourly earnings",2013,218.84,208.43,10.409999999999997,4.76
All sectors,All forms of pay,"Employees, non-managerial level","Upper quartile, standardized hourly earnings",2013,274.29,243.21,31.080000000000013,11.33
All sectors,All forms of pay,"Employees, non-managerial level",STANDARDIZED MONTHLY EARNINGS,2013,38394.16,34762.62,3631.540000000001,9.46
All sectors,All forms of pay,"Employees, non-managerial level",Number of fulltime employees in the earnings statistics,2013,584795.0,645130.0,-60335.0,-10.32
All sectors,Workers paid by the hour,General managers,STANDARDIZED HOURLY EARNINGS,2013,230.77,184.47,46.30000000000001,20.06
All sectors,Workers paid by the hour,General managers,Fringe benefits in DKK per standard hour,2013,2.76,1.27,1.4899999999999998,53.99
All sectors,Workers paid by the hour,General managers,Pension including ATP in DKK per standard hour,2013,26.77,16.07,10.7,39.97
All sectors,Workers paid by the hour,General managers,Basic earnings in DKK per standard hour,2013,195.28,162.47,32.81,16.8
All sectors,Workers paid by the hour,General managers,"Lower quartile, standardized earnings",2013,177.51,141.38,36.129999999999995,20.35
All sectors,Workers paid by the hour,General managers,"Median, standardized hourly earnings",2013,204.77,172.2,32.57000000000002,15.91
All sectors,Workers paid by the hour,General managers,"Upper quartile, standardized hourly earnings",2013,247.28,200.76,46.52000000000001,18.81
All sectors,Workers paid by the hour,General managers,STANDARDIZED MONTHLY EARNINGS,2013,36998.76,29576.12,7422.640000000003,20.06
All sectors,Workers paid by the hour,General managers,Number of fulltime employees in the earnings statistics,2013,646.0,155.0,491.0,76.01
All sectors,Workers paid by the hour,Employees,STANDARDIZED HOURLY EARNINGS,2013,190.74,162.11,28.629999999999995,15.01
All sectors,Workers paid by the hour,Employees,Fringe benefits in DKK per standard hour,2013,0.22,0.12,0.1,45.45
All sectors,Workers paid by the hour,Employees,Pension including ATP in DKK per standard hour,2013,21.2,13.64,7.559999999999999,35.66
All sectors,Workers paid by the hour,Employees,Basic earnings in DKK per standard hour,2013,160.66,140.24,20.419999999999987,12.71
All sectors,Workers paid by the hour,Employees,"Lower quartile, standardized earnings",2013,160.59,135.57,25.02000000000001,15.58
All sectors,Workers paid by the hour,Employees,"Median, standardized hourly earnings",2013,186.07,153.62,32.44999999999999,17.44
All sectors,Workers paid by the hour,Employees,"Upper quartile, standardized hourly earnings",2013,213.09,178.28,34.81,16.34
All sectors,Workers paid by the hour,Employees,STANDARDIZED MONTHLY EARNINGS,2013,30580.88,25991.82,4589.060000000001,15.01
All sectors,Workers paid by the hour,Employees,Number of fulltime employees in the earnings statistics,2013,161551.0,53332.0,108219.0,66.99
All sectors,Workers paid by the hour,"Employees, non-managerial level",STANDARDIZED HOURLY EARNINGS,2013,190.56,162.03,28.53,14.97
All sectors,Workers paid by the hour,"Employees, non-managerial level",Fringe benefits in DKK per standard hour,2013,0.21,0.12,0.09,42.86
All sectors,Workers paid by the hour,"Employees, non-managerial level",Pension including ATP in DKK per standard hour,2013,21.18,13.64,7.539999999999999,35.6
All sectors,Workers paid by the hour,"Employees, non-managerial level",Basic earnings in DKK per standard hour,2013,160.51,140.16,20.349999999999994,12.68
All sectors,Workers paid by the hour,"Employees, non-managerial level","Lower quartile, standardized earnings",2013,160.53,135.56,24.97,15.55
All sectors,Workers paid by the hour,"Employees, non-managerial level","Median, standardized hourly earnings",2013,186.0,153.59,32.41,17.42
All sectors,Workers paid by the hour,"Employees, non-managerial level","Upper quartile, standardized hourly earnings",2013,212.98,178.2,34.78,16.33
All sectors,Workers paid by the hour,"Employees, non-managerial level",STANDARDIZED MONTHLY EARNINGS,2013,30552.95,25978.92,4574.0300000000025,14.97
All sectors,Workers paid by the hour,"Employees, non-managerial level",Number of fulltime employees in the earnings statistics,2013,160904.0,53177.0,107727.0,66.95
All sectors,Fixed salary-earners,General managers,STANDARDIZED HOURLY EARNINGS,2013,400.95,330.05,70.89999999999998,17.68
All sectors,Fixed salary-earners,General managers,Fringe benefits in DKK per standard hour,2013,10.27,3.34,6.93,67.48
All sectors,Fixed salary-earners,General managers,Pension including ATP in DKK per standard hour,2013,49.23,44.18,5.049999999999997,10.26
All sectors,Fixed salary-earners,General managers,Basic earnings in DKK per standard hour,2013,325.58,272.93,52.64999999999998,16.17
All sectors,Fixed salary-earners,General managers,"Lower quartile, standardized earnings",2013,262.17,241.06,21.110000000000014,8.05
All sectors,Fixed salary-earners,General managers,"Median, standardized hourly earnings",2013,345.25,292.17,53.079999999999984,15.37
All sectors,Fixed salary-earners,General managers,"Upper quartile, standardized hourly earnings",2013,474.02,382.5,91.51999999999998,19.31
All sectors,Fixed salary-earners,General managers,STANDARDIZED MONTHLY EARNINGS,2013,64284.1,52916.36,11367.739999999998,17.68
All sectors,Fixed salary-earners,General managers,Number of fulltime employees in the earnings statistics,2013,98272.0,49894.0,48378.0,49.23
All sectors,Fixed salary-earners,Employees,STANDARDIZED HOURLY EARNINGS,2013,287.21,231.75,55.45999999999998,19.31
All sectors,Fixed salary-earners,Employees,Fringe benefits in DKK per standard hour,2013,3.47,0.71,2.7600000000000002,79.54
All sectors,Fixed salary-earners,Employees,Pension including ATP in DKK per standard hour,2013,35.4,29.68,5.719999999999999,16.16
All sectors,Fixed salary-earners,Employees,Basic earnings in DKK per standard hour,2013,238.43,194.5,43.93000000000001,18.42
All sectors,Fixed salary-earners,Employees,"Lower quartile, standardized earnings",2013,204.67,185.49,19.17999999999998,9.37
All sectors,Fixed salary-earners,Employees,"Median, standardized hourly earnings",2013,252.46,216.49,35.97,14.25
All sectors,Fixed salary-earners,Employees,"Upper quartile, standardized hourly earnings",2013,328.79,255.76,73.03000000000003,22.21
All sectors,Fixed salary-earners,Employees,STANDARDIZED MONTHLY EARNINGS,2013,46049.05,37156.74,8892.310000000005,19.31
All sectors,Fixed salary-earners,Employees,Number of fulltime employees in the earnings statistics,2013,522162.0,641847.0,-119685.0,-22.92
All sectors,Fixed salary-earners,"Employees, non-managerial level",STANDARDIZED HOURLY EARNINGS,2013,259.62,222.78,36.84,14.19
All sectors,Fixed salary-earners,"Employees, non-managerial level",Fringe benefits in DKK per standard hour,2013,1.82,0.47,1.35,74.18
All sectors,Fixed salary-earners,"Employees, non-managerial level",Pension including ATP in DKK per standard hour,2013,32.05,28.36,3.6899999999999977,11.51
All sectors,Fixed salary-earners,"Employees, non-managerial level",Basic earnings in DKK per standard hour,2013,217.29,187.34,29.94999999999999,13.78
All sectors,Fixed salary-earners,"Employees, non-managerial level","Lower quartile, standardized earnings",2013,197.94,183.29,14.650000000000006,7.4
All sectors,Fixed salary-earners,"Employees, non-managerial level","Median, standardized hourly earnings",2013,239.41,212.96,26.44999999999999,11.05
All sectors,Fixed salary-earners,"Employees, non-managerial level","Upper quartile, standardized hourly earnings",2013,300.51,247.65,52.859999999999985,17.59
All sectors,Fixed salary-earners,"Employees, non-managerial level",STANDARDIZED MONTHLY EARNINGS,2013,41624.7,35717.9,5906.799999999996,14.19
All sectors,Fixed salary-earners,"Employees, non-managerial level",Number of fulltime employees in the earnings statistics,2013,423891.0,591953.0,-168062.0,-39.65
General government,All forms of pay,General managers,STANDARDIZED HOURLY EARNINGS,2013,353.68,317.08,36.60000000000002,10.35
General government,All forms of pay,General managers,Fringe benefits in DKK per standard hour,2013,0.35,0.27,0.07999999999999996,22.86
General government,All forms of pay,General managers,Pension including ATP in DKK per standard hour,2013,48.42,45.06,3.3599999999999994,6.94
General government,All forms of pay,General managers,Basic earnings in DKK per standard hour,2013,284.28,263.1,21.17999999999995,7.45
General government,All forms of pay,General managers,"Lower quartile, standardized earnings",2013,255.08,248.02,7.060000000000002,2.77
General government,All forms of pay,General managers,"Median, standardized hourly earnings",2013,317.82,284.41,33.40999999999997,10.51
General government,All forms of pay,General managers,"Upper quartile, standardized hourly earnings",2013,432.16,355.84,76.32000000000005,17.66
General government,All forms of pay,General managers,STANDARDIZED MONTHLY EARNINGS,2013,56706.15,50837.86,5868.290000000001,10.35
General government,All forms of pay,General managers,Number of fulltime employees in the earnings statistics,2013,27035.0,26009.0,1026.0,3.8
General government,All forms of pay,Employees,STANDARDIZED HOURLY EARNINGS,2013,252.85,221.59,31.25999999999999,12.36
General government,All forms of pay,Employees,Fringe benefits in DKK per standard hour,2013,0.16,0.07,0.09,56.25
General government,All forms of pay,Employees,Pension including ATP in DKK per standard hour,2013,33.19,28.5,4.689999999999998,14.13
General government,All forms of pay,Employees,Basic earnings in DKK per standard hour,2013,209.08,184.69,24.390000000000015,11.67
General government,All forms of pay,Employees,"Lower quartile, standardized earnings",2013,198.78,186.03,12.75,6.41
General government,All forms of pay,Employees,"Median, standardized hourly earnings",2013,233.96,212.92,21.04000000000002,8.99
General government,All forms of pay,Employees,"Upper quartile, standardized hourly earnings",2013,283.13,243.27,39.859999999999985,14.08
