Sector,Salary Group,Employment Group,Gender,Components,Year,Contents
All sectors,All forms of pay,General managers,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,377.31
All sectors,All forms of pay,General managers,Mean of men and women,Fringe benefits in DKK per standard hour,2013,8.02
All sectors,All forms of pay,General managers,Mean of men and women,Pension including ATP in DKK per standard hour,2013,47.47
All sectors,All forms of pay,General managers,Mean of men and women,Basic earnings in DKK per standard hour,2013,308.0
All sectors,All forms of pay,General managers,Mean of men and women,"Lower quartile, standardized earnings",2013,252.36
All sectors,All forms of pay,General managers,Mean of men and women,"Median, standardized hourly earnings",2013,324.42
All sectors,All forms of pay,General managers,Mean of men and women,"Upper quartile, standardized hourly earnings",2013,445.79
All sectors,All forms of pay,General managers,Mean of men and women,STANDARDIZED MONTHLY EARNINGS,2013,60493.81
All sectors,All forms of pay,General managers,Mean of men and women,Number of fulltime employees in the earnings statistics,2013,148966.0
All sectors,All forms of pay,General managers,Men,STANDARDIZED HOURLY EARNINGS,2013,399.7
All sectors,All forms of pay,General managers,Men,Fringe benefits in DKK per standard hour,2013,10.21
All sectors,All forms of pay,General managers,Men,Pension including ATP in DKK per standard hour,2013,49.06
All sectors,All forms of pay,General managers,Men,Basic earnings in DKK per standard hour,2013,324.63
All sectors,All forms of pay,General managers,Men,"Lower quartile, standardized earnings",2013,260.97
All sectors,All forms of pay,General managers,Men,"Median, standardized hourly earnings",2013,344.2
All sectors,All forms of pay,General managers,Men,"Upper quartile, standardized hourly earnings",2013,473.02
All sectors,All forms of pay,General managers,Men,STANDARDIZED MONTHLY EARNINGS,2013,64083.99
All sectors,All forms of pay,General managers,Men,Number of fulltime employees in the earnings statistics,2013,98918.0
All sectors,All forms of pay,General managers,Women,STANDARDIZED HOURLY EARNINGS,2013,329.43
All sectors,All forms of pay,General managers,Women,Fringe benefits in DKK per standard hour,2013,3.33
All sectors,All forms of pay,General managers,Women,Pension including ATP in DKK per standard hour,2013,44.06
All sectors,All forms of pay,General managers,Women,Basic earnings in DKK per standard hour,2013,272.46
All sectors,All forms of pay,General managers,Women,"Lower quartile, standardized earnings",2013,240.57
All sectors,All forms of pay,General managers,Women,"Median, standardized hourly earnings",2013,291.65
All sectors,All forms of pay,General managers,Women,"Upper quartile, standardized hourly earnings",2013,382.1
All sectors,All forms of pay,General managers,Women,STANDARDIZED MONTHLY EARNINGS,2013,52816.72
All sectors,All forms of pay,General managers,Women,Number of fulltime employees in the earnings statistics,2013,50049.0
All sectors,All forms of pay,Employees,Mean of men and women,STANDARDIZED HOURLY EARNINGS,2013,245.22
All sectors,All forms of pay,Employees,Mean of men and women,Fringe benefits in DKK per standard hour,2013,1.7
All sectors,All forms of pay,Employees,Mean of men and women,Pension including ATP in DKK per standard hour,2013,30.13
All sectors,All forms of pay,Employees,Mean of men and women,Basic earnings in DKK per standard hour,2013,205.03
All sectors,All forms of pay,Employees,Mean of men and women,"Lower quartile, standardized earnings",2013,182.88
